0.00 	 338.40 	 
0.01 	 339.71 	 
0.02 	 341.00 	 
0.03 	 342.27 	 
0.04 	 343.52 	 
0.05 	 344.74 	 
0.06 	 345.94 	 
0.07 	 347.10 	 
0.08 	 348.24 	 
0.09 	 349.34 	 
0.10 	 350.41 	 
0.11 	 351.45 	 
0.12 	 352.44 	 
0.13 	 353.39 	 
0.14 	 354.31 	 
0.15 	 355.18 	 
0.16 	 356.00 	 
0.17 	 356.78 	 
0.18 	 357.50 	 
0.19 	 358.18 	 
0.20 	 358.80 	 
0.21 	 359.38 	 
0.22 	 359.94 	 
0.23 	 360.47 	 
0.24 	 360.97 	 
0.25 	 361.46 	 
0.26 	 361.92 	 
0.27 	 362.37 	 
0.28 	 362.80 	 
0.29 	 363.21 	 
0.30 	 363.61 	 
0.31 	 364.00 	 
0.32 	 364.38 	 
0.33 	 364.75 	 
0.34 	 365.11 	 
0.35 	 365.46 	 
0.36 	 365.81 	 
0.37 	 366.16 	 
0.38 	 366.50 	 
0.39 	 366.85 	 
0.40 	 367.20 	 
0.41 	 367.54 	 
0.42 	 367.87 	 
0.43 	 368.19 	 
0.44 	 368.50 	 
0.45 	 368.79 	 
0.46 	 369.08 	 
0.47 	 369.37 	 
0.48 	 369.65 	 
0.49 	 369.92 	 
0.50 	 370.20 	 
0.51 	 370.48 	 
0.52 	 370.75 	 
0.53 	 371.03 	 
0.54 	 371.32 	 
0.55 	 371.61 	 
0.56 	 371.90 	 
0.57 	 372.21 	 
0.58 	 372.53 	 
0.59 	 372.86 	 
0.60 	 373.20 	 
0.61 	 373.55 	 
0.62 	 373.90 	 
0.63 	 374.25 	 
0.64 	 374.60 	 
0.65 	 374.96 	 
0.66 	 375.32 	 
0.67 	 375.69 	 
0.68 	 376.07 	 
0.69 	 376.45 	 
0.70 	 376.84 	 
0.71 	 377.25 	 
0.72 	 377.67 	 
0.73 	 378.10 	 
0.74 	 378.54 	 
0.75 	 379.00 	 
0.76 	 379.48 	 
0.77 	 379.98 	 
0.78 	 380.50 	 
0.79 	 381.04 	 
0.80 	 381.60 	 
0.81 	 382.19 	 
0.82 	 382.83 	 
0.83 	 383.50 	 
0.84 	 384.21 	 
0.85 	 384.95 	 
0.86 	 385.74 	 
0.87 	 386.55 	 
0.88 	 387.40 	 
0.89 	 388.27 	 
0.90 	 389.18 	 
0.91 	 390.12 	 
0.92 	 391.08 	 
0.93 	 392.07 	 
0.94 	 393.08 	 
0.95 	 394.12 	 
0.96 	 395.18 	 
0.97 	 396.25 	 
0.98 	 397.35 	 
0.99 	 398.47 	 
1.00 	 399.60 	 
